Sr No,Common Name,Scientific Name,Description,Uses,Advantages,Disadvantages,Side Effects,Related Plants,Image 1,Image 2,Image 3,Image 4,3D Model Link
1,Tulsi,Ocimum sanctum,Tulsi ek pavitra medicinal plant hai jo immunity aur respiratory problems me helpful hai.,"Immunity, stress relief, respiratory problems, mouth ulcers, skin problems","Immunity boost, natural antibiotic, easy to grow","High dosage se nausea, pregnancy me avoid","Blood sugar low, allergy","Basil, Krishna Tulsi, Giloy, Ashwagandha",Tulsi_1.jpg,Tulsi_2.jpg,Tulsi_3.jpg,Tulsi_4.jpg,
2,Neem,Azadirachta indica,Neem traditional medicine me use hota hai aur body ko support karta hai.,"General health, immunity","Antioxidant support, natural",Kuch logon me taste/irritation,Sensitive logon ko dikkat,"Amla, Ginger",Neem_1.jpg,Neem_2.jpg,Neem_3.jpg,Neem_4.jpg,
3,Aloe Vera,Aloe barbadensis miller,Aloe Vera digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Aloe_Vera_1.jpg,Aloe_Vera_2.jpg,Aloe_Vera_3.jpg,Aloe_Vera_4.jpg,
4,Giloy,Tinospora cordifolia,Giloy traditional medicine me use hota hai aur body ko support karta hai.,"General health, immunity","Antioxidant support, natural",Kuch logon me taste/irritation,Sensitive logon ko dikkat,"Amla, Ginger",Giloy_1.jpg,Giloy_2.jpg,Giloy_3.jpg,Giloy_4.jpg,
5,Ashwagandha,Withania somnifera,Ashwagandha digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Ashwagandha_1.jpg,Ashwagandha_2.jpg,Ashwagandha_3.jpg,Ashwagandha_4.jpg,
6,Amla,Phyllanthus emblica,Amla ek medicinal plant hai jo daily wellness me help karta hai.,"Immunity, digestion, skin care","Natural support, easy to use",Overuse se discomfort ho sakta hai,Allergy/interaction possible,"Tulsi, Neem",Amla_1.jpg,Amla_2.jpg,Amla_3.jpg,Amla_4.jpg,
7,Turmeric,Curcuma longa,Turmeric skin aur overall health ke liye famous hai.,"Skin care, anti-inflammatory","Soothing, useful in routines",Continuous use recommended nahi,Patch test advisable,"Aloe Vera, Neem",Turmeric_1.jpg,Turmeric_2.jpg,Turmeric_3.jpg,Turmeric_4.jpg,
8,Ginger,Zingiber officinale,Ginger heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Ginger_1.jpg,Ginger_2.jpg,Ginger_3.jpg,Ginger_4.jpg,
9,Garlic,Allium sativum,Garlic ek medicinal plant hai jo daily wellness me help karta hai.,"Immunity, digestion, skin care","Natural support, easy to use",Overuse se discomfort ho sakta hai,Allergy/interaction possible,"Tulsi, Neem",Garlic_1.jpg,Garlic_2.jpg,Garlic_3.jpg,Garlic_4.jpg,
10,Peppermint,Mentha × piperita,Peppermint heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Peppermint_1.jpg,Peppermint_2.jpg,Peppermint_3.jpg,Peppermint_4.jpg,
